"","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","y2020","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"ADR",0,0,1,1,,,,,,,2011,2014,4,0,4,0,2014-12-31,0
"ALO",,,1,1,1,1,1,1,1,1,2013,2020,8,0,8,0,2020-12-03,0
"ALT",1,0,0,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2021-06-12,0.1
"AMO",1,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-09-06,0.166666666666667
"AMP",1,1,1,1,1,1,1,1,,,2011,2018,8,0,8,1,2020-05-24,0.125
"ARI",0,1,1,1,,,,,,,2011,2014,4,0,4,0,2014-01-08,0
"ASN",,,,,1,1,1,1,1,1,2015,2020,6,0,6,0,2021-07-31,0
"ATC",1,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-07-18,0.166666666666667
"ATH",1,1,1,1,1,1,1,1,0,1,2011,2020,10,0,10,1,2021-03-16,0.1
"ATW",0,1,1,1,1,1,1,0,0,1,2011,2020,10,0,10,0,2020-05-09,0
"BAD",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,0,2020-04-09,0
"BLB",1,1,1,1,1,,,,,,2011,2015,5,0,5,1,2015-01-25,0.2
"BLI",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,0,2020-06-06,0
"BLK",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2020-02-02,0.2
"BMB",1,1,1,1,,,,,,,2011,2014,4,0,4,0,2014-04-18,0
"BMN",1,0,1,1,0,1,,,,,2011,2016,6,0,6,0,2016-03-05,0
"BMY",1,1,1,1,1,1,0,,1,,2011,2019,8,0,8,1,2019-12-12,0.125
"BNG",,1,0,1,1,1,1,,,,2012,2017,6,0,6,0,2019-03-24,0
"BOJ",1,1,1,1,0,1,1,1,,,2011,2018,8,0,8,2,2018-12-27,0.25
"BOM",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2020-01-16,0.2
"BRE",1,1,1,1,1,1,0,1,0,1,2011,2020,10,0,10,0,2022-08-14,0
"BRT",1,1,1,1,1,1,,,,,2011,2016,6,0,6,2,2016-02-27,0.333333333333333
"BSC",0,1,1,1,1,0,1,1,,,2011,2018,8,0,8,0,2018-12-28,0
"BSS",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-01-26,0.1
"BYT",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-09-20,0.1
"CAB",0,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2018-01-23,0.166666666666667
"CAD",0,0,1,1,1,1,1,0,1,,2011,2019,9,0,9,1,2019-01-08,0.111111111111111
"CCO",1,0,0,1,1,,,,,,2011,2015,5,0,5,0,2015-06-28,0
"CER",0,0,1,1,0,0,0,0,1,1,2011,2020,10,4,6,0,2020-01-17,0
"CFL",0,0,1,1,,,,,,,2011,2014,4,0,4,0,2014-12-20,0
"CHC",1,1,1,1,,,,,,,2011,2014,4,0,4,1,2014-12-31,0.25
"CHL",1,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-03-03,0.166666666666667
"CHS",1,1,1,1,1,1,1,1,1,,2011,2019,9,0,9,1,2019-02-18,0.111111111111111
"CHT",1,1,1,1,1,1,1,0,1,1,2011,2020,10,0,10,1,2020-01-01,0.1
"CII",,1,1,1,1,1,1,1,,,2012,2018,7,0,7,1,2018-12-27,0.142857142857143
"CKL",0,1,1,1,1,1,1,,,,2011,2017,7,0,7,1,2017-01-14,0.142857142857143
"CLA",0,1,1,0,0,1,1,1,1,1,2011,2020,10,0,10,0,2020-05-17,0
"CLO",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2021-03-17,0.2
"CLV",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-04-03,0.1
"CLW",1,0,0,1,1,1,,,,,2011,2016,6,0,6,0,2016-03-05,0
"COI",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2022-08-21,0.1
"COP",,,1,1,1,1,1,1,1,1,2013,2020,8,0,8,0,2020-03-25,0
"CRP",1,0,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-01-23,0.1
"CRS",1,0,1,1,1,1,1,1,1,,2011,2019,9,0,9,0,2019-12-12,0
"CRV",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,0,2022-08-15,0
"CTY",0,1,1,1,1,1,0,0,1,1,2011,2020,10,0,10,1,2020-04-18,0.1
"CUR",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-03-31,0.1
"CUV",1,1,1,1,,,,,,,2011,2014,4,0,4,1,2014-04-09,0.25
"CYR",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-04-09,0.1
"DEM",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,0,2022-07-08,0
"DMK",1,1,1,0,1,,,,,1,2011,2020,6,0,6,1,2020-04-30,0.166666666666667
"DOD",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2022-07-11,0.1
"DUC",1,1,1,1,1,1,1,1,1,,2011,2019,9,0,9,0,2019-12-08,0
"DUR",1,1,1,1,1,1,1,,,,2011,2017,7,0,7,1,2018-04-03,0.142857142857143
"EDE",,,,,1,1,1,1,1,1,2015,2020,6,0,6,0,2022-05-27,0
"EED",1,1,1,1,1,1,1,0,1,,2011,2019,9,0,9,1,2019-10-15,0.111111111111111
"EPC",0,1,0,1,1,1,0,1,1,,2011,2019,9,0,9,0,2019-12-12,0
"ESM",1,0,1,1,1,1,,,,,2011,2016,6,0,6,0,2016-03-05,0
"ESP",1,1,1,1,1,1,0,1,1,1,2011,2020,10,0,10,1,2020-03-26,0.1
"FID",0,0,0,1,0,1,1,1,1,1,2011,2020,10,3,7,1,2020-10-09,0.142857142857143
"FKY",1,0,,,1,0,1,,,,2011,2017,5,0,5,0,2017-12-14,0
"FNT",1,1,1,1,0,1,1,1,1,1,2011,2020,10,0,10,2,2020-06-03,0.2
"FOO",1,1,1,1,,,,,,,2011,2014,4,0,4,0,2014-03-23,0
"FRG",0,0,0,0,0,1,0,0,1,1,2011,2020,10,5,5,0,2020-01-02,0
"FRL",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2021-07-31,0.2
"FUF",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,0,2020-08-20,0
"GAB",1,1,1,1,1,1,1,0,1,1,2011,2020,10,0,10,1,2020-08-28,0.1
"GAF",1,0,1,1,1,1,1,1,1,,2011,2019,9,0,9,2,2019-12-25,0.222222222222222
"GBY",1,0,1,1,1,1,1,,,,2011,2017,7,0,7,0,2017-12-14,0
"GLX",0,,,,,0,1,0,1,,2011,2019,5,0,5,0,2019-11-11,0
"GMP",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-09-20,0.1
"GNO",1,1,1,1,1,1,1,1,1,0,2011,2020,10,0,10,2,2022-08-07,0.2
"GOD",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-05-28,0.1
"GRG",1,1,1,0,1,,,,,,2011,2015,5,0,5,0,2015-03-26,0
"GRV",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2021-07-20,0.2
"GUM",1,1,1,1,1,,,,,,2011,2015,5,0,5,1,2015-12-20,0.2
"HAT",1,1,1,1,1,1,1,1,1,0,2011,2020,10,0,10,0,2022-08-06,0
"HBB",1,1,1,1,1,,,,,,2011,2015,5,0,5,0,2015-04-19,0
"HNK",0,0,1,1,1,0,0,1,1,,2011,2019,9,0,9,0,2020-01-16,0
"HOW",,,1,1,1,1,1,1,1,,2013,2019,7,0,7,0,2019-04-07,0
"HPP",,0,1,1,1,1,1,0,0,1,2012,2020,9,0,9,1,2020-05-09,0.111111111111111
"HRA",1,1,1,1,1,,,,,,2011,2015,5,0,5,1,2015-01-05,0.2
"HRS",,1,1,1,1,1,1,0,1,0,2012,2020,9,0,9,1,2021-09-19,0.111111111111111
"IBL",1,1,1,1,1,1,1,0,1,1,2011,2020,10,0,10,0,2020-01-02,0
"IBX",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-03-26,0.1
"IND",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2021-07-20,0.2
"JAS",1,1,1,1,1,1,1,1,1,,2011,2019,9,0,9,1,2019-06-21,0.111111111111111
"JCR",1,1,0,1,,,,,,,2011,2014,4,0,4,1,2014-05-17,0.25
"JMY",1,1,1,1,1,1,0,1,1,1,2011,2020,10,0,10,1,2020-01-17,0.1
"JNI",1,1,1,1,1,1,1,,,,2011,2017,7,0,7,1,2017-12-19,0.142857142857143
"JUI",,,1,1,1,1,1,1,1,1,2013,2020,8,0,8,0,2021-09-08,0
"JUM",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2022-07-07,0.2
"KAT",1,1,0,1,0,0,0,1,1,,2011,2019,9,3,6,1,2019-12-12,0.166666666666667
"KIT",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,3,2022-08-06,0.3
"KIY",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2022-06-27,0.1
"KKD",1,1,1,1,0,,,,,,2011,2015,5,0,5,1,2017-11-30,0.2
"KNG",1,1,1,1,0,0,1,0,1,1,2011,2020,10,0,10,1,2020-06-04,0.1
"KOA",1,1,1,1,1,1,,,,,2011,2016,6,0,6,0,2016-02-25,0
"KYD",1,1,1,1,1,1,1,,,,2011,2017,7,0,7,1,2017-11-17,0.142857142857143
"LEN",,,1,1,1,1,1,1,1,1,2013,2020,8,0,8,0,2021-06-01,0
"LEV",1,1,0,0,,,0,0,1,1,2011,2020,8,0,8,1,2020-05-17,0.125
"LIC",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2022-05-27,0.1
"LIF",0,1,1,1,1,1,0,1,1,1,2011,2020,10,0,10,1,2020-01-16,0.1
"LIT",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,0,2021-03-17,0
"LLA",0,1,1,1,1,1,0,1,1,,2011,2019,9,0,9,1,2019-12-25,0.111111111111111
"LNS",1,1,1,1,1,,,,,,2011,2015,5,0,5,1,2015-01-12,0.2
"MEO",1,1,,1,1,,,,,,2011,2015,4,0,4,1,2016-02-27,0.25
"MFC",0,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-02-27,0.166666666666667
"MIS",1,0,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-11-22,0.166666666666667
"MJV",1,1,0,0,0,0,1,1,,,2011,2018,8,4,4,1,2018-12-27,0.25
"MNG",1,1,1,1,0,1,0,0,1,1,2011,2020,10,0,10,1,2020-01-17,0.1
"MOO",1,1,1,1,1,,,,,,2011,2015,5,0,5,0,2015-01-24,0
"MOU",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2020-05-28,0.2
"MOZ",1,1,1,1,1,1,,,,,2011,2016,6,0,6,0,2016-02-16,0
"MSC",1,1,1,1,1,1,1,0,1,,2011,2019,9,0,9,1,2019-12-19,0.111111111111111
"MYS",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-11-14,0.1
"NIC",1,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2015-12-31,0.166666666666667
"NIR",,1,1,1,1,1,1,1,1,1,2012,2020,9,0,9,0,2020-06-02,0
"NOC",1,0,0,1,1,1,1,0,0,1,2011,2020,10,0,10,1,2020-05-16,0.1
"NOO",1,1,1,1,,,,,,,2011,2014,4,0,4,0,2014-09-11,0
"NUM",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2020-01-16,0.2
"OLI",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-04-08,0.1
"OMA",,,,0,0,1,1,1,1,,2014,2019,6,0,6,1,2019-03-23,0.166666666666667
"OSI",1,1,1,0,1,1,1,1,,,2011,2018,8,0,8,1,2018-12-27,0.125
"PCK",0,0,0,1,1,1,0,0,1,,2011,2019,9,3,6,0,2019-11-14,0
"PDT",1,0,1,0,1,1,1,1,1,,2011,2019,9,0,9,0,2019-12-27,0
"PEG",1,1,1,1,1,,,,,,2011,2015,5,0,5,1,2015-12-10,0.2
"PGP",,,1,1,0,1,1,0,1,1,2013,2020,8,0,8,0,2020-01-02,0
"PHA",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2020-02-02,0.2
"PHO",,1,1,1,1,1,1,1,1,1,2012,2020,9,0,9,1,2022-05-27,0.111111111111111
"PIC",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2021-08-05,0.2
"PKA",1,1,1,1,0,0,1,1,1,,2011,2019,9,0,9,1,2019-03-06,0.111111111111111
"PNN",0,1,1,1,1,,,,,,2011,2015,5,0,5,1,2015-01-12,0.2
"POL",1,1,1,1,1,1,1,1,,,2011,2018,8,0,8,1,2018-01-21,0.125
"PRN",,,0,0,1,1,,,,,2013,2016,4,0,4,0,2016-12-02,0
"PSI",1,1,1,1,1,,,0,1,,2011,2019,7,0,7,1,2019-03-02,0.142857142857143
"PUC",1,1,1,1,1,1,1,1,1,,2011,2019,9,0,9,1,2019-05-14,0.111111111111111
"PZL",0,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-04-09,0.1
"PZZ",1,0,1,,,0,1,0,1,,2011,2019,7,0,7,0,2019-11-27,0
"RAP",1,1,1,1,0,1,,,,,2011,2016,6,0,6,1,2016-02-05,0.166666666666667
"RBD",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,0,2020-01-16,0
"REG",1,1,1,1,0,1,1,,,,2011,2017,7,0,7,2,2019-12-12,0.285714285714286
"RHO",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2021-08-15,0.1
"RHY",1,1,1,1,1,1,1,1,,,2011,2018,8,0,8,1,2018-12-27,0.125
"RIP",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2022-05-16,0.1
"RLF",,,1,1,1,1,1,1,0,1,2013,2020,8,0,8,0,2020-06-04,0
"RSH",1,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-03-10,0.166666666666667
"RSO",,,,1,1,1,1,1,1,1,2014,2020,7,0,7,1,2021-09-08,0.142857142857143
"SAS",1,1,1,1,,,,,,,2011,2014,4,0,4,0,2014-05-13,0
"SBA",1,0,0,1,1,1,,,,,2011,2016,6,0,6,0,2016-12-19,0
"SCA",1,1,1,1,1,1,1,1,,,2011,2018,8,0,8,1,2018-01-21,0.125
"SCS",1,1,1,1,,,,,,,2011,2014,4,0,4,1,2014-12-30,0.25
"SCT",1,1,1,1,1,1,1,,,,2011,2017,7,0,7,1,2017-04-08,0.142857142857143
"SEQ",1,1,1,1,1,1,1,,,,2011,2017,7,0,7,0,2017-04-14,0
"SHB",,,,,0,1,1,0,0,1,2015,2020,6,0,6,0,2020-01-17,0
"SHC",1,1,1,1,1,1,1,1,1,,2011,2019,9,0,9,1,2019-01-25,0.111111111111111
"SHO",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2020-08-20,0.2
"SKF",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2022-07-08,0.1
"SLT",1,1,1,1,1,1,1,0,1,1,2011,2020,10,0,10,1,2020-01-02,0.1
"SNW",0,1,1,1,1,1,1,,,,2011,2017,7,0,7,1,2018-12-17,0.142857142857143
"SOG",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2022-08-14,0.1
"SOP",,0,0,0,1,1,1,1,0,1,2012,2020,9,3,6,0,2020-02-04,0
"SPE",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2021-09-20,0.2
"SRP",0,0,1,0,1,,,,,,2011,2015,5,0,5,0,2015-06-26,0
"STV",0,0,0,1,1,1,1,0,0,1,2011,2020,10,3,7,0,2020-01-17,0
"SUM",1,1,1,1,1,1,0,1,1,1,2011,2020,10,0,10,1,2019-12-08,0.1
"SUP",,,,1,1,1,1,,,,2014,2017,4,0,4,0,2020-12-05,0
"SUR",1,1,1,1,1,1,1,1,1,,2011,2019,9,0,9,1,2019-04-13,0.111111111111111
"SVD",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-01-02,0.1
"TAF",1,1,1,1,1,0,1,1,1,1,2011,2020,10,0,10,1,2020-04-09,0.1
"TAL",1,1,1,1,1,1,1,0,1,1,2011,2020,10,0,10,0,2020-01-17,0
"TAM",1,1,1,1,0,1,1,0,1,1,2011,2020,10,0,10,1,2020-01-01,0.1
"TAW",,1,1,1,1,1,1,1,1,1,2012,2020,9,0,9,2,2021-03-16,0.222222222222222
"TDO",,,,1,1,1,1,1,1,,2014,2019,6,0,6,0,2019-03-18,0
"THU",0,,,,1,0,0,,,,2011,2017,4,0,4,0,2018-12-17,0
"TOG",,,,1,1,1,1,0,1,1,2014,2020,7,0,7,0,2020-05-17,0
"TOR",1,1,1,1,1,1,1,0,1,1,2011,2020,10,0,10,2,2022-08-06,0.2
"TRY",1,1,1,1,1,,,,,,2011,2015,5,0,5,0,2015-04-17,0
"TST",1,1,1,1,1,1,1,1,,,2011,2018,8,0,8,1,2018-12-17,0.125
"TUK",1,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-03-19,0.166666666666667
"TUL",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,2,2020-01-02,0.2
"TUN",1,1,1,1,1,0,0,0,0,0,2011,2020,10,5,5,1,2021-07-21,0.2
"UMM",0,1,1,1,,,,,,,2011,2014,4,0,4,1,2014-12-31,0.25
"UVE",1,0,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-03-03,0.166666666666667
"VBE",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,0,2021-09-23,0
"VEG",0,0,1,1,0,0,0,1,,,2011,2018,8,3,5,0,2018-12-28,0
"WAC",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-12-03,0.1
"WAN",1,1,1,1,,,,,,,2011,2014,4,0,4,1,2012-05-06,0.25
"WHE",,1,1,1,1,1,1,1,1,1,2012,2020,9,0,9,1,2020-02-04,0.111111111111111
"WHL",1,1,1,1,1,1,,,,,2011,2016,6,0,6,1,2016-07-23,0.166666666666667
"WHN",,,,1,1,1,1,1,,,2014,2018,5,0,5,0,2020-01-15,0
"WHO",1,1,1,1,1,1,1,1,1,,2011,2019,9,0,9,1,2021-08-18,0.111111111111111
"WHT",1,1,1,0,1,1,1,1,1,1,2011,2020,10,0,10,2,2020-05-17,0.2
"WLB",0,0,1,1,1,,,,,,2011,2015,5,0,5,0,2015-01-04,0
"WLV",,1,1,1,1,1,1,1,1,,2012,2019,8,0,8,1,2021-07-02,0.125
"WNG",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,3,2020-11-20,0.3
"WOF",1,1,1,1,1,1,1,1,1,1,2011,2020,10,0,10,1,2020-10-22,0.1
"ZEP",,1,1,1,1,1,1,1,1,1,2012,2020,9,0,9,1,2022-08-06,0.111111111111111
"ZIO",1,1,1,1,0,,,,,,2011,2015,5,0,5,1,2016-06-02,0.2
"ZIP",1,1,1,1,1,1,1,,,,2011,2017,7,0,7,1,2017-08-04,0.142857142857143
